,ingr,mass,count,mass_weight,count_weight
36,egg whites,47794.333297,200,1.0,3.745
48,chicken,46796.59497400001,400,1.0213207461686973,1.8725
33,scrambled eggs,39772.309516999994,331,1.2016987164542487,2.2628398791540785
81,olives,37301.340390999976,297,1.2813033739809456,2.521885521885522
39,cauliflower,29629.891235000003,340,1.6130445069114339,2.2029411764705884
46,broccoli,29282.886482000038,546,1.6321592246849983,1.3717948717948718
126,lemon,27993.225631,58,1.7073535549998224,12.913793103448276
47,berries,24296.0,270,1.9671688054412249,2.774074074074074
96,fish,21347.105211,246,2.2389140271989643,3.0447154471544717
6,apple,19397.623487999997,239,2.463927260293877,3.1338912133891212
65,cheese pizza,19072.0,277,2.505994824716862,2.703971119133574
37,sweet potato,18254.712892999993,226,2.61819145429164,3.314159292035398
19,carrot,18121.583353999995,526,2.6374259005601908,1.4239543726235742
20,caesar salad,17193.0,188,2.779871651078927,3.984042553191489
51,pineapple,17048.896801000003,249,2.8033680920748267,3.0080321285140563
49,cantaloupe,16337.0,212,2.925526920303605,3.5330188679245285
22,cherry tomatoes,15734.973549000017,503,3.037458763318824,1.489065606361829
68,beef,15549.60229700001,217,3.073669177135223,3.4516129032258065
10,pork,15336.915703000011,183,3.1162936683319633,4.092896174863388
61,salmon,14834.20739599999,133,3.221900032885318,5.631578947368421
89,sausage,13892.0,182,3.440421343003167,4.115384615384615
30,asparagus,13636.0,95,3.5050112420797888,7.88421052631579
13,roasted potatoes,13398.0,189,3.5672737197342883,3.962962962962963
117,brussels sprouts,13341.385126000001,210,3.5824116345953683,3.566666666666667
2,white rice,13030.895709000006,323,3.6677703792832936,2.318885448916409
7,mixed greens,12893.382258000001,390,3.706888723270799,1.9205128205128206
40,squash,11582.292797000011,215,4.126500178736584,3.483720930232558
100,corn on the cob,10636.795815,135,4.4933017544250005,5.548148148148148
23,cucumbers,10175.739364,424,4.696890475210878,1.7665094339622642
85,watermelon,10116.0,110,4.724627648971925,6.8090909090909095
143,tofu,9752.0,139,4.900977573523379,5.388489208633094
35,grapes,9567.423739999998,137,4.995528012120848,5.467153284671533
42,spinach (raw),9541.503425999992,460,5.009098793253427,1.6282608695652174
29,arugula,9284.663137999996,524,5.147664765713336,1.4293893129770991
50,potatoes,9116.626949,127,5.242545687606812,5.897637795275591
120,chicken thighs,8804.201256000002,108,5.428582549090241,6.935185185185185
118,oatmeal,8155.0,70,5.860739827958308,10.7
111,pears,8119.765832000001,72,5.886171385465638,10.402777777777779
72,almonds,8037.3262110000005,180,5.946546406389228,4.161111111111111
52,steak,7660.911125,83,6.238727028307615,9.024096385542169
75,pizza,7503.0,91,6.370029761028921,8.23076923076923
133,orange,7477.1115,102,6.392085138358576,7.3431372549019605
108,bell peppers,7440.864592999997,303,6.423223094526217,2.4719471947194718
54,bacon,7411.435106,297,6.448728567873127,2.521885521885522
15,green beans,7074.222740000003,161,6.756125026535421,4.6521739130434785
45,honeydew melons,7031.0,79,6.797657985635045,9.481012658227849
26,tomatoes,6899.798601999994,228,6.926917154240734,3.2850877192982457
127,quinoa,6847.588728,139,6.9797318728514615,5.388489208633094
17,wheat berry,6789.344791000003,307,7.039609088693869,2.439739413680782
11,bok choy,6434.027721999999,230,7.428369189889543,3.256521739130435
4,onions,5991.911974999993,749,7.9764745370779675,1.0
34,yam,5674.101137,104,8.423243108118042,7.201923076923077
138,strawberries,5449.1715619999995,78,8.770935683195507,9.602564102564102
57,mushroom,5394.808509999999,221,8.859319697521572,3.3891402714932126
5,brown rice,5376.194466999996,239,8.88999339409499,3.1338912133891212
38,eggplant,5225.12631,100,9.147019700850064,7.49
140,avocado,4729.437330000001,92,10.105712363250618,8.141304347826088
83,lettuce,4336.9491179999995,162,11.020266089504075,4.6234567901234565
88,banana,4271.513392999999,51,11.189086606944418,14.686274509803921
78,hash browns,4228.992655,53,11.301588154921966,14.132075471698114
41,chicken breast,4204.041005000001,53,11.36866487271572,14.132075471698114
79,pepperoni pizza,4098.0,56,11.662843654709613,13.375
14,chicken apple sausage,4092.0,60,11.679944598484848,12.483333333333333
166,grilled chicken,3821.0,27,12.50833114289453,27.74074074074074
80,kale,3695.920116000001,218,12.931646733946883,3.4357798165137616
98,tortilla,3505.2678200000005,93,13.6350018746927,8.053763440860216
99,kiwi,3345.0,54,14.28829097070254,13.87037037037037
70,zucchini,3322.394252,138,14.385509265864211,5.427536231884058
130,ham,3237.0,75,14.765008741736175,9.986666666666666
129,eggs,3217.8181130000003,53,14.85302513026161,14.132075471698114
158,tuna,3078.0,19,15.527723618258609,39.421052631578945
55,chard,2842.887951,237,16.811894848049885,3.160337552742616
90,salsa,2832.962330999999,51,16.87079731841306,14.686274509803921
107,fried rice,2486.0,31,19.225395533789218,24.161290322580644
109,nuts,2478.0,60,19.287462993139627,12.483333333333333
